"","spsi_treatcombi","lambda","species","site","treat_combi","site_treat_combi","treat_warm","treat_comp","trend","method"
"1","brapin_hi_bare.ambi",1.11211563360427,"brapin","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"2","brapin_hi_bare.warm",0.940973553193333,"brapin","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"3","brapin_hi_vege.ambi",0.483341892765585,"brapin","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"4","brapin_hi_vege.warm",0.823230361559256,"brapin","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"5","broere_hi_bare.ambi",1.71968787152347,"broere","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"6","broere_hi_bare.warm",1.18343402078691,"broere","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"7","broere_hi_vege.ambi",0.96017751863773,"broere","hi","vege.ambi","hi.vege.ambi","ambi","vege","shrink","normal"
"8","broere_hi_vege.warm",1.17817644683384,"broere","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"9","cenjac_hi_bare.ambi",0.387822434406402,"cenjac","hi","bare.ambi","hi.bare.ambi","ambi","bare","shrink","normal"
"10","cenjac_hi_bare.warm",0.941249168780116,"cenjac","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"11","cenjac_hi_vege.ambi",1.42112674489515,"cenjac","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"12","cenjac_hi_vege.warm",1.4878757956341,"cenjac","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"13","daucar_hi_bare.ambi",2.56268796413681,"daucar","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"14","daucar_hi_bare.warm",2.9045287682952,"daucar","hi","bare.warm","hi.bare.warm","warm","bare","grow","normal"
"15","daucar_hi_vege.ambi",5.11041523629401,"daucar","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"16","daucar_hi_vege.warm",2.01494361608315,"daucar","hi","vege.warm","hi.vege.warm","warm","vege","grow","normal"
"17","hypper_hi_bare.ambi",0.556642425259066,"hypper","hi","bare.ambi","hi.bare.ambi","ambi","bare","shrink","normal"
"18","hypper_hi_bare.warm",0.239992934960885,"hypper","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"19","hypper_hi_vege.ambi",1.25177273362935,"hypper","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"20","hypper_hi_vege.warm",0.920290345377398,"hypper","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"21","medlup_hi_bare.ambi",1.06979095985354,"medlup","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"22","medlup_hi_bare.warm",0.588700034937646,"medlup","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
"23","medlup_hi_vege.ambi",1.6925707040632,"medlup","hi","vege.ambi","hi.vege.ambi","ambi","vege","grow","normal"
"24","medlup_hi_vege.warm",0.65610294263388,"medlup","hi","vege.warm","hi.vege.warm","warm","vege","shrink","normal"
"25","plamed_hi_bare.ambi",1.16626604430927,"plamed","hi","bare.ambi","hi.bare.ambi","ambi","bare","grow","normal"
"26","plamed_hi_bare.warm",0.98056038146182,"plamed","hi","bare.warm","hi.bare.warm","warm","bare","shrink","normal"
