unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,flower_status,biomass,height_vegetative_str,number_leaves
CHE.lo.ambi.bare.wf.01.01.2,brapin,graminoid,2021-06-28,2021-06-22,EI,0,0.04619205104582597,173,5
CHE.lo.ambi.bare.wf.01.02.2,daucar,forb,2021-06-28,2021-06-22,EI,0,0.11527224339908326,147,4
CHE.lo.ambi.bare.wf.01.03.2,broere,graminoid,2021-06-28,2021-06-22,EI,0,0.02909998288478471,215,3
CHE.lo.ambi.bare.wf.01.04.3,broere,graminoid,2021-06-28,2021-06-28,EI,0,0.03840742870373289,227,4
CHE.lo.ambi.bare.wf.01.05.2,hypper,forb,2021-06-28,2021-06-22,EI,0,0.024183678915503312,55,16
CHE.lo.ambi.bare.wf.01.06.2,scacol,forb,2021-06-28,2021-06-22,EI,0,0.008034556651658177,33,3
CHE.lo.ambi.bare.wf.01.07.2,broere,graminoid,2021-06-28,2021-06-22,EI,0,0.04902794425188506,412,3
CHE.lo.ambi.bare.wf.01.08.2,brapin,graminoid,2021-06-28,2021-06-22,EI,0,0.056797292969758634,190,5
CHE.lo.ambi.bare.wf.01.09.2,medlup,legume,2021-06-28,2021-06-22,EI,0,0.08496143125225475,95,9
CHE.lo.ambi.bare.wf.01.10.2,plamed,forb,2021-06-28,2021-06-22,EI,0,0.02663029827387071,30,4
CHE.lo.ambi.bare.wf.01.11.1,silvul,forb,2021-06-28,2021-06-16,EI,0,0.16370098867881236,98,27
CHE.lo.ambi.bare.wf.01.12.2,daucar,forb,2021-06-28,2021-06-22,EI,0,0.20320733244003492,128,6
CHE.lo.ambi.bare.wf.01.13.2,daucar,forb,2021-06-28,2021-06-22,EI,0,0.22721497003578614,116,7
CHE.lo.ambi.bare.wf.01.14.2,cenjac,forb,2021-06-28,2021-06-22,EI,0,0.08091719564113149,116,6
CHE.lo.ambi.bare.wf.01.15.1,hypper,forb,2021-06-28,2021-06-16,EI,0,0.09327316545452258,49,60
CHE.lo.ambi.bare.wf.01.16.2,brapin,graminoid,2021-06-28,2021-06-22,EI,0,0.12530071804037848,235,8
CHE.lo.ambi.bare.wf.01.17.1,plamed,forb,2021-06-28,2021-06-16,EI,0,0.029812910116503985,33,4
CHE.lo.ambi.bare.wf.01.18.1,hypper,forb,2021-06-28,2021-06-16,EI,0,0.08405795189107093,64,44
CHE.lo.ambi.bare.wf.01.19.2,salpra,forb,2021-06-28,2021-06-22,EI,0,0.22846079182040066,70,10
CHE.lo.ambi.bare.wf.01.20.2,silvul,forb,2021-06-28,2021-06-24,EI,0,0.15179590734457332,117,22
CHE.lo.ambi.bare.wf.01.21.1,medlup,legume,2021-06-28,2021-06-16,EI,0,0.07078863811833275,64,10
CHE.lo.ambi.bare.wf.01.22.2,silvul,forb,2021-06-28,2021-06-24,EI,0,0.07192663877615799,94,13
CHE.lo.ambi.bare.wf.01.23.2,scacol,forb,2021-06-28,2021-06-22,EI,0,0.023611806243319763,26,6
CHE.lo.ambi.bare.wf.01.24.2,scacol,forb,2021-06-28,2021-06-22,EI,0,0.01316782421324806,17,6
CHE.lo.ambi.bare.wf.01.25.2,cenjac,forb,2021-06-28,2021-06-22,EI,0,0.12637844792702166,114,8
CHE.lo.ambi.bare.wf.01.26.1,salpra,forb,2021-06-28,2021-06-16,EI,0,0.01712849159207061,27,4
CHE.lo.ambi.bare.wf.01.27.2,medlup,legume,2021-06-28,2021-06-22,EI,0,0.06853859953416543,82,9
CHE.lo.ambi.bare.wf.01.28.1,salpra,forb,2021-06-28,2021-06-16,EI,0,0.04065565542777707,44,6
CHE.lo.ambi.bare.wf.01.29.2,plamed,forb,2021-06-28,2021-06-22,EI,0,0.04089778435704597,33,5
CHE.lo.ambi.bare.wf.01.30.1,cenjac,forb,2021-06-28,2021-06-16,EI,0,0.06047422871441936,115,5
CHE.lo.ambi.vege.wf.01.01.1,brapin,graminoid,2021-06-21,2021-06-16,CB,0,0.0792426004192189,230,6
CHE.lo.ambi.vege.wf.01.02.1,daucar,forb,2021-06-21,2021-06-16,CB,0,0.2164960757197876,162,5
CHE.lo.ambi.vege.wf.01.03.1,broere,graminoid,2021-06-21,2021-06-16,CB,0,0.05526335251872579,330,4
CHE.lo.ambi.vege.wf.01.04.1,broere,graminoid,2021-06-21,2021-06-16,CB,0,0.15178469195268687,404,7
