unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,survival,flower_status,biomass_comb,number_seeds,height_vegetative_str,number_leaves,year
CHE.lo.ambi.bare.wf.10.01.1,brapin,graminoid,2021-08-16,2021-06-16,PS,1,0,0.2494165440717642,0,220,18,2021
CHE.lo.ambi.bare.wf.10.02.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,4.661128805377924,0,258,21,2021
CHE.lo.ambi.bare.wf.10.03.3,broere,graminoid,2021-08-16,2021-06-28,PS,1,0,0.12767994186286383,0,115,16,2021
CHE.lo.ambi.bare.wf.10.04.2,broere,graminoid,2021-08-16,2021-06-22,PS,1,0,1.622703223747667,0,232,241,2021
CHE.lo.ambi.bare.wf.10.05.1,hypper,forb,2021-08-16,2021-06-16,PS,1,0,0.04560556597133385,0,64,17,2021
CHE.lo.ambi.bare.wf.10.06.3,scacol,forb,2021-08-16,2021-06-24,PS,1,0,1.3330749409244234,0,143,26,2021
CHE.lo.ambi.bare.wf.10.07.3,broere,graminoid,2021-08-16,2021-07-05,PS,1,0,0.26148053134744575,0,143,26,2021
CHE.lo.ambi.bare.wf.10.08.2,brapin,graminoid,2021-08-16,2021-06-22,PS,1,0,0.09091299451806041,0,220,8,2021
CHE.lo.ambi.bare.wf.10.09.1,medlup,legume,2021-08-16,2021-06-16,PS,1,1,1.9590495985533087,953.4545454545454,240,164,2021
CHE.lo.ambi.bare.wf.10.10.2,plamed,forb,2021-08-16,2021-06-22,PS,1,0,0.1464600466716451,0,41,8,2021
CHE.lo.ambi.bare.wf.10.11.2,silvul,forb,2021-08-16,2021-07-05,PS,1,0,0.5368400121034851,0,77,101,2021
CHE.lo.ambi.bare.wf.10.12.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,1.2668612751646984,0,203,11,2021
CHE.lo.ambi.bare.wf.10.13.2,daucar,forb,2021-08-16,2021-06-22,PS,1,0,2.7277453831719343,0,257,15,2021
CHE.lo.ambi.bare.wf.10.14.2,cenjac,forb,2021-08-16,2021-06-22,PS,1,0,0.616386293204187,0,156,15,2021
CHE.lo.ambi.bare.wf.10.15.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,1.2785271668929452,0,187,329,2021
CHE.lo.ambi.bare.wf.10.16.1,brapin,graminoid,2021-08-16,2021-06-16,PS,1,0,0.23462033637446306,0,104,37,2021
CHE.lo.ambi.bare.wf.10.17.2,plamed,forb,2021-08-16,2021-06-22,PS,1,1,1.2800330765376342,880.0555555555555,66,11,2021
CHE.lo.ambi.bare.wf.10.18.2,hypper,forb,2021-08-16,2021-06-22,PS,1,0,0.5817324027588618,0,143,185,2021
CHE.lo.ambi.bare.wf.10.19.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.9146541154220572,0,118,15,2021
CHE.lo.ambi.bare.wf.10.20.2,silvul,forb,2021-08-16,2021-06-22,PS,1,1,5.185276632907157,2446.733333333333,186,488,2021
