unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.bare.wf.10.01.1,brapin,graminoid,2021-06-16,1,1,1,0,0,1,0.2494165440717642,2.5481503747571717,11.99,0,0,461.0769230769231,220,280,495,18,91,344
CHE.lo.ambi.bare.wf.10.02.2,daucar,forb,2021-06-22,1,1,0,0,1,NA,4.661128805377924,NA,NA,0,6502.222222222223,NA,258,186,NA,21,0,NA
CHE.lo.ambi.bare.wf.10.03.3,broere,graminoid,2021-06-28,1,1,1,0,1,1,0.12767994186286383,22.195531815480926,31.26,0,257.85714285714283,412.57142857142856,115,705,610,16,392,680
CHE.lo.ambi.bare.wf.10.04.2,broere,graminoid,2021-06-22,1,1,1,0,0,1,1.622703223747667,5.691932620032465,6.9,0,0,77.35714285714286,232,350,289,241,140,216
CHE.lo.ambi.bare.wf.10.05.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.04560556597133385,67.16812837112319,16.72,0,59796,45526.5,64,645,462,17,5608,1482
CHE.lo.ambi.bare.wf.10.06.3,scacol,forb,2021-06-24,1,1,0,0,1,NA,1.3330749409244234,14.552875513327512,NA,0,3519,NA,143,507,NA,26,94,NA
CHE.lo.ambi.bare.wf.10.07.3,broere,graminoid,2021-07-05,1,1,1,0,1,1,0.26148053134744575,11.14793730392941,36.75,0,77.35714285714286,618.8571428571429,143,594,548,26,296,864
CHE.lo.ambi.bare.wf.10.08.2,brapin,graminoid,2021-06-22,1,0,0,0,NA,NA,0.09091299451806041,NA,NA,0,NA,NA,220,NA,NA,8,NA,NA
CHE.lo.ambi.bare.wf.10.09.1,medlup,legume,2021-06-16,1,1,0,1,1,NA,1.9590495985533087,4.577761729293347,NA,953.4545454545454,6176.727272727273,NA,240,318,NA,164,312,NA
CHE.lo.ambi.bare.wf.10.10.2,plamed,forb,2021-06-22,1,1,1,0,1,NA,0.1464600466716451,4.971356603198194,2.1985,0,6160.388888888889,NA,41,101,NA,8,13,NA
CHE.lo.ambi.bare.wf.10.11.2,silvul,forb,2021-07-05,1,1,1,0,1,0,0.5368400121034851,2.9502142215478155,0.3956,0,998.6666666666666,0,77,147,86,101,488,94
CHE.lo.ambi.bare.wf.10.12.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,1.2668612751646984,NA,NA,0,NA,NA,203,NA,NA,11,NA,NA
CHE.lo.ambi.bare.wf.10.13.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,2.7277453831719343,NA,NA,0,NA,NA,257,NA,NA,15,NA,NA
CHE.lo.ambi.bare.wf.10.14.2,cenjac,forb,2021-06-22,1,1,1,0,1,1,0.616386293204187,11.738804813723329,14.3,0,1060.8,1310.3999999999999,156,491,477,15,198,131
CHE.lo.ambi.bare.wf.10.15.2,hypper,forb,2021-06-22,1,1,1,0,1,1,1.2785271668929452,114.62413317157714,21.89,0,167912,53001,187,732,548,329,7512,2022
CHE.lo.ambi.bare.wf.10.16.1,brapin,graminoid,2021-06-16,1,1,1,0,NA,1,0.23462033637446306,NA,9.74,0,NA,87.23076923076923,104,NA,351,37,NA,246
CHE.lo.ambi.bare.wf.10.17.2,plamed,forb,2021-06-22,1,1,0,1,1,NA,1.2800330765376342,2.3425100066263806,NA,880.0555555555555,880.0555555555555,NA,66,122,NA,11,8,NA
CHE.lo.ambi.bare.wf.10.18.2,hypper,forb,2021-06-22,1,1,1,0,1,1,0.5817324027588618,48.44638792555375,13.95,0,86070,35032,143,703,522,185,3310,928
CHE.lo.ambi.bare.wf.10.19.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.9146541154220572,2.2077759194803934,2.08,0,398.54545454545456,298.90909090909093,118,125,139,15,13,18
CHE.lo.ambi.bare.wf.10.20.2,silvul,forb,2021-06-22,1,1,1,1,1,1,5.185276632907157,11.851690328369322,5.79,2446.733333333333,25466,499.3333333333333,186,504,379,488,410,414
CHE.lo.ambi.bare.wf.10.21.1,medlup,legume,2021-06-16,1,1,1,1,1,1,1.9428129219692165,1.7088305274574955,0.0721,766.9090909090909,1658.181818181818,165.8181818181818,248,260,39,160,127,16
CHE.lo.ambi.bare.wf.10.22.1,silvul,forb,2021-06-16,1,1,1,0,1,1,0.912456945994741,9.200197614862518,1.57,0,7789.5999999999995,99.86666666666666,105,421,317,136,444,150
CHE.lo.ambi.bare.wf.10.23.1,scacol,forb,2021-06-16,1,1,1,0,1,1,0.6513533453896191,13.454847262266634,31.82,0,1329.4,2267.8,78,380,354,25,135,214
CHE.lo.ambi.bare.wf.10.24.3,scacol,forb,2021-06-24,1,1,1,0,1,1,0.4848265416127149,14.91107436953751,28.98,0,1720.4,2580.6,78,435,322,18,116,235
CHE.lo.ambi.bare.wf.10.25.2,cenjac,forb,2021-06-22,1,1,1,0,1,1,0.5241544434023414,5.697175915203903,1.15,0,873.6,124.8,146,382,312,17,77,12
CHE.lo.ambi.bare.wf.10.26.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.48620094043992845,4.553607353115606,10.31,0,597.8181818181819,398.54545454545456,90,245,271,11,38,49
