"plot_id","releve_id","obs_id","year","month","day","x","y","geometry","xy_precision","altitude_min","altitude_max","aspect","slope","surface","taxon_id","taxon_global","author_global","taxon_no_global","taxon_level","taxon_CH","author_CH","taxon_no_isfs","family","determinavit_cf","specimen_type","species_cover","phenology","total_cover","trees_cover","shrubs_cover","herbaceous_cover","moss_cover","crypto_cover","lichens_cover","algae_cover","litter_cover","soil_cover","rocks_cover","water_cover","open_close","releve_stratum","soil_depth_1","soil_depth_2","soil_depth_3","soil_depth_4","soil_depth_5","soil_depth_6","soil_depth_7","soil_depth_8","soil_depth_9","soil_depth_10","observer_initials","locality_descript","comments"
"0.OID",2979453,15064609,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1002440,"Alchemilla vulgaris","L.","998276","aggr.","Alchemilla vulgaris aggr.",NA,21100,"Rosaceae","-",NA,16,"E",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064614,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1033330,"Phleum alpinum","L.","881661","aggr.","Phleum alpinum aggr.",NA,298900,"Poaceae","-",NA,15,"FDS",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064604,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1012450,"Cirsium spinosissimum","(L.) Scop.","1600761","species","Cirsium spinosissimum","(L.) Scop.",115300,"Asteraceae","-",NA,15,"S",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064617,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1019470,"Festuca rubra","L.","863572","aggr.","Festuca rubra aggr.",NA,170200,"Poaceae","-",NA,9,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064607,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1015040,"Deschampsia cespitosa","(L.) P.Beauv.","854193","species","Deschampsia cespitosa","(L.) P.",134800,"Poaceae","-",NA,8,"F",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064613,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1047630,"Trifolium repens","L.","208384","species","Trifolium repens","L.",427100,"Fabaceae","-",NA,5,"D",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064606,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1037700,"Ranunculus montanus","Willd.","456976","aggr.","Ranunculus montanus aggr.",NA,339505,"Ranunculaceae","-",NA,4,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064603,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1040810,"Salix herbacea","L.","920106","species","Salix herbacea","L.",364800,"Salicaceae","-",NA,4,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064592,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1000563,"Aconitum napellus","L.","511264","species","Aconitum napellus","L.",3540,"Ranunculaceae","-",NA,4,"BFD",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
"0.OID",2979453,15064608,2023,8,24,9.48693749,46.89569671,"POINT(9.48693749 46.89569671)",6,2030.1,2057.4,84,13,4,1034680,"Poa supina","Schrad.","885701","species","Poa supina","Schrad.",311100,"Poaceae","-",NA,3,"V",89,0,0,88,11,0,0,0,5,2,4,0,"open","herbaceous","18","16","14","0","9","15","2","6","5","7","CB, ND","Nutrient-rich pasture, in the north of a cliff (shadowy)",NA
