"unique_plant_ID","ind_number","species","functional_group","date_measurement","date_planting","collector","height_vegetative_str","vegetative_width","leaf_length1","leaf_length2","leaf_length3","number_leaves"
"CHE.lo.ambi.bare.wf.01.01.2",2,"brapin","graminoid",2021-06-28,2021-06-22,"EI",173,NA,118,103,102,5
"CHE.lo.ambi.bare.wf.01.02.2",2,"daucar","forb",2021-06-28,2021-06-22,"EI",147,NA,134,130,92,4
"CHE.lo.ambi.bare.wf.01.03.2",2,"broere","graminoid",2021-06-28,2021-06-22,"EI",215,NA,188,177,170,3
"CHE.lo.ambi.bare.wf.01.04.3",3,"broere","graminoid",2021-06-28,2021-06-28,"EI",227,NA,150,123,202,4
"CHE.lo.ambi.bare.wf.01.05.2",2,"hypper","forb",2021-06-28,2021-06-22,"EI",55,NA,15,15,13,16
"CHE.lo.ambi.bare.wf.01.06.2",2,"scacol","forb",2021-06-28,2021-06-22,"EI",33,NA,31,10,14,3
"CHE.lo.ambi.bare.wf.01.07.2",2,"broere","graminoid",2021-06-28,2021-06-22,"EI",412,NA,302,203,371,3
"CHE.lo.ambi.bare.wf.01.08.2",2,"brapin","graminoid",2021-06-28,2021-06-22,"EI",190,NA,156,114,121,5
"CHE.lo.ambi.bare.wf.01.09.2",2,"medlup","legume",2021-06-28,2021-06-22,"EI",95,NA,15,16,16,9
"CHE.lo.ambi.bare.wf.01.10.2",2,"plamed","forb",2021-06-28,2021-06-22,"EI",30,NA,29,23,23,4
"CHE.lo.ambi.bare.wf.01.11.1",1,"silvul","forb",2021-06-28,2021-06-16,"EI",98,NA,41,39,45,27
"CHE.lo.ambi.bare.wf.01.12.2",2,"daucar","forb",2021-06-28,2021-06-22,"EI",128,NA,116,95,117,6
"CHE.lo.ambi.bare.wf.01.13.2",2,"daucar","forb",2021-06-28,2021-06-22,"EI",116,NA,111,94,94,7
"CHE.lo.ambi.bare.wf.01.14.2",2,"cenjac","forb",2021-06-28,2021-06-22,"EI",116,NA,114,110,75,6
"CHE.lo.ambi.bare.wf.01.15.1",1,"hypper","forb",2021-06-28,2021-06-16,"EI",49,NA,19,15,8,60
"CHE.lo.ambi.bare.wf.01.16.2",2,"brapin","graminoid",2021-06-28,2021-06-22,"EI",235,NA,176,181,112,8
"CHE.lo.ambi.bare.wf.01.17.1",1,"plamed","forb",2021-06-28,2021-06-16,"EI",33,NA,33,27,20,4
"CHE.lo.ambi.bare.wf.01.18.1",1,"hypper","forb",2021-06-28,2021-06-16,"EI",64,NA,20,19,17,44
"CHE.lo.ambi.bare.wf.01.19.2",2,"salpra","forb",2021-06-28,2021-06-22,"EI",70,NA,68,65,43,10
"CHE.lo.ambi.bare.wf.01.20.2",2,"silvul","forb",2021-06-28,2021-06-24,"EI",117,NA,45,40,39,22
"CHE.lo.ambi.bare.wf.01.21.1",1,"medlup","legume",2021-06-28,2021-06-16,"EI",64,NA,12,12,12,10
"CHE.lo.ambi.bare.wf.01.22.2",2,"silvul","forb",2021-06-28,2021-06-24,"EI",94,NA,45,38,34,13
"CHE.lo.ambi.bare.wf.01.23.2",2,"scacol","forb",2021-06-28,2021-06-22,"EI",26,NA,19,24,21,6
"CHE.lo.ambi.bare.wf.01.24.2",2,"scacol","forb",2021-06-28,2021-06-22,"EI",17,NA,15,16,11,6
"CHE.lo.ambi.bare.wf.01.25.2",2,"cenjac","forb",2021-06-28,2021-06-22,"EI",114,NA,109,99,95,8
"CHE.lo.ambi.bare.wf.01.26.1",1,"salpra","forb",2021-06-28,2021-06-16,"EI",27,NA,27,25,12,4
"CHE.lo.ambi.bare.wf.01.27.2",2,"medlup","legume",2021-06-28,2021-06-22,"EI",82,NA,14,13,13,9
"CHE.lo.ambi.bare.wf.01.28.1",1,"salpra","forb",2021-06-28,2021-06-16,"EI",44,NA,39,22,21,6
"CHE.lo.ambi.bare.wf.01.29.2",2,"plamed","forb",2021-06-28,2021-06-22,"EI",33,NA,31,24,22,5
"CHE.lo.ambi.bare.wf.01.30.1",1,"cenjac","forb",2021-06-28,2021-06-16,"EI",115,NA,114,100,83,5
"CHE.lo.ambi.vege.wf.01.01.1",1,"brapin","graminoid",2021-06-21,2021-06-16,"CB",230,NA,177,152,76,6
"CHE.lo.ambi.vege.wf.01.02.1",1,"daucar","forb",2021-06-21,2021-06-16,"CB",162,NA,154,130,131,5
"CHE.lo.ambi.vege.wf.01.03.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",330,NA,277,112,296,4
"CHE.lo.ambi.vege.wf.01.04.1",1,"broere","graminoid",2021-06-21,2021-06-16,"CB",404,NA,354,294,324,7
