"date_planting","region","site","block_ID_original","plot_ID_original","position_ID_original","species","functional_group","treat_warming","treat_competition","added_focals","block_ID","position_ID","ind_number","unique_plot_ID","unique_plant_ID"
2021-06-16,"CHE","lo",1,1,1,"brapin","graminoid","ambi","bare","wf","01","01",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.01.1"
2021-06-16,"CHE","lo",1,1,2,"daucar","forb","ambi","bare","wf","01","02",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.02.1"
2021-06-16,"CHE","lo",1,1,3,"broere","graminoid","ambi","bare","wf","01","03",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.03.1"
2021-06-16,"CHE","lo",1,1,4,"broere","graminoid","ambi","bare","wf","01","04",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.04.1"
2021-06-16,"CHE","lo",1,1,5,"hypper","forb","ambi","bare","wf","01","05",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.05.1"
2021-06-16,"CHE","lo",1,1,6,"scacol","forb","ambi","bare","wf","01","06",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.06.1"
2021-06-16,"CHE","lo",1,1,7,"broere","graminoid","ambi","bare","wf","01","07",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.07.1"
2021-06-16,"CHE","lo",1,1,8,"brapin","graminoid","ambi","bare","wf","01","08",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.08.1"
2021-06-16,"CHE","lo",1,1,9,"medlup","legume","ambi","bare","wf","01","09",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.09.1"
2021-06-16,"CHE","lo",1,1,10,"plamed","forb","ambi","bare","wf","01","10",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.10.1"
2021-06-16,"CHE","lo",1,1,11,"silvul","forb","ambi","bare","wf","01","11",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.11.1"
2021-06-16,"CHE","lo",1,1,12,"daucar","forb","ambi","bare","wf","01","12",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.12.1"
2021-06-16,"CHE","lo",1,1,13,"daucar","forb","ambi","bare","wf","01","13",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.13.1"
2021-06-16,"CHE","lo",1,1,14,"cenjac","forb","ambi","bare","wf","01","14",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.14.1"
2021-06-16,"CHE","lo",1,1,15,"hypper","forb","ambi","bare","wf","01","15",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.15.1"
2021-06-16,"CHE","lo",1,1,16,"brapin","graminoid","ambi","bare","wf","01","16",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.16.1"
2021-06-16,"CHE","lo",1,1,17,"plamed","forb","ambi","bare","wf","01","17",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.17.1"
2021-06-16,"CHE","lo",1,1,18,"hypper","forb","ambi","bare","wf","01","18",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.18.1"
2021-06-16,"CHE","lo",1,1,19,"salpra","forb","ambi","bare","wf","01","19",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.19.1"
2021-06-16,"CHE","lo",1,1,20,"silvul","forb","ambi","bare","wf","01","20",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.20.1"
2021-06-16,"CHE","lo",1,1,21,"medlup","legume","ambi","bare","wf","01","21",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.21.1"
2021-06-16,"CHE","lo",1,1,22,"silvul","forb","ambi","bare","wf","01","22",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.22.1"
2021-06-16,"CHE","lo",1,1,23,"scacol","forb","ambi","bare","wf","01","23",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.23.1"
2021-06-16,"CHE","lo",1,1,24,"scacol","forb","ambi","bare","wf","01","24",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.24.1"
2021-06-16,"CHE","lo",1,1,25,"cenjac","forb","ambi","bare","wf","01","25",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.25.1"
2021-06-16,"CHE","lo",1,1,26,"salpra","forb","ambi","bare","wf","01","26",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.26.1"
2021-06-16,"CHE","lo",1,1,27,"medlup","legume","ambi","bare","wf","01","27",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.27.1"
2021-06-16,"CHE","lo",1,1,28,"salpra","forb","ambi","bare","wf","01","28",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.28.1"
2021-06-16,"CHE","lo",1,1,29,"plamed","forb","ambi","bare","wf","01","29",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.29.1"
2021-06-16,"CHE","lo",1,1,30,"cenjac","forb","ambi","bare","wf","01","30",1,"CHE.lo.ambi.bare.wf.01","CHE.lo.ambi.bare.wf.01.30.1"
2021-06-16,"CHE","lo",1,2,1,"brapin","graminoid","ambi","vege","wf","01","01",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.01.1"
2021-06-16,"CHE","lo",1,2,2,"daucar","forb","ambi","vege","wf","01","02",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.02.1"
2021-06-16,"CHE","lo",1,2,3,"broere","graminoid","ambi","vege","wf","01","03",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.03.1"
2021-06-16,"CHE","lo",1,2,4,"broere","graminoid","ambi","vege","wf","01","04",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.04.1"
2021-06-16,"CHE","lo",1,2,5,"hypper","forb","ambi","vege","wf","01","05",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.05.1"
2021-06-16,"CHE","lo",1,2,6,"scacol","forb","ambi","vege","wf","01","06",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.06.1"
2021-06-16,"CHE","lo",1,2,7,"broere","graminoid","ambi","vege","wf","01","07",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.07.1"
2021-06-16,"CHE","lo",1,2,8,"brapin","graminoid","ambi","vege","wf","01","08",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.08.1"
2021-06-16,"CHE","lo",1,2,9,"medlup","legume","ambi","vege","wf","01","09",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.09.1"
2021-06-16,"CHE","lo",1,2,10,"plamed","forb","ambi","vege","wf","01","10",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.10.1"
2021-06-16,"CHE","lo",1,2,11,"silvul","forb","ambi","vege","wf","01","11",1,"CHE.lo.ambi.vege.wf.01","CHE.lo.ambi.vege.wf.01.11.1"
