"region","site","block_ID_original","plot_ID_original","treat_warming","treat_competition","added_focals","block_ID","unique_plot_ID"
"CHE","lo",1,1,"ambi","bare","wf","01","CHE.lo.ambi.bare.wf.01"
"CHE","lo",1,2,"ambi","vege","wf","01","CHE.lo.ambi.vege.wf.01"
"CHE","lo",2,1,"ambi","vege","wf","02","CHE.lo.ambi.vege.wf.02"
"CHE","lo",2,2,"ambi","bare","wf","02","CHE.lo.ambi.bare.wf.02"
"CHE","lo",3,1,"ambi","vege","wf","03","CHE.lo.ambi.vege.wf.03"
"CHE","lo",3,2,"ambi","bare","wf","03","CHE.lo.ambi.bare.wf.03"
"CHE","lo",4,1,"ambi","vege","wf","04","CHE.lo.ambi.vege.wf.04"
"CHE","lo",4,2,"ambi","bare","wf","04","CHE.lo.ambi.bare.wf.04"
"CHE","lo",5,1,"ambi","vege","wf","05","CHE.lo.ambi.vege.wf.05"
"CHE","lo",5,2,"ambi","bare","wf","05","CHE.lo.ambi.bare.wf.05"
"CHE","lo",6,1,"ambi","vege","wf","06","CHE.lo.ambi.vege.wf.06"
"CHE","lo",6,2,"ambi","bare","wf","06","CHE.lo.ambi.bare.wf.06"
"CHE","lo",7,1,"ambi","bare","wf","07","CHE.lo.ambi.bare.wf.07"
"CHE","lo",7,2,"ambi","vege","wf","07","CHE.lo.ambi.vege.wf.07"
"CHE","lo",8,1,"ambi","bare","wf","08","CHE.lo.ambi.bare.wf.08"
"CHE","lo",8,2,"ambi","vege","wf","08","CHE.lo.ambi.vege.wf.08"
"CHE","lo",9,1,"ambi","bare","wf","09","CHE.lo.ambi.bare.wf.09"
"CHE","lo",9,2,"ambi","vege","wf","09","CHE.lo.ambi.vege.wf.09"
"CHE","lo",10,1,"ambi","bare","wf","10","CHE.lo.ambi.bare.wf.10"
"CHE","lo",10,2,"ambi","vege","wf","10","CHE.lo.ambi.vege.wf.10"
"CHE","hi",1,1,"warm","vege","wf","01","CHE.hi.warm.vege.wf.01"
"CHE","hi",1,2,"ambi","vege","wf","01","CHE.hi.ambi.vege.wf.01"
"CHE","hi",1,3,"ambi","bare","wf","01","CHE.hi.ambi.bare.wf.01"
"CHE","hi",1,4,"warm","bare","wf","01","CHE.hi.warm.bare.wf.01"
"CHE","hi",2,1,"ambi","vege","wf","02","CHE.hi.ambi.vege.wf.02"
"CHE","hi",2,2,"ambi","vege","nf","02","CHE.hi.ambi.vege.nf.02"
"CHE","hi",2,3,"warm","bare","wf","02","CHE.hi.warm.bare.wf.02"
"CHE","hi",2,4,"ambi","bare","wf","02","CHE.hi.ambi.bare.wf.02"
"CHE","hi",2,5,"warm","vege","nf","02","CHE.hi.warm.vege.nf.02"
"CHE","hi",2,6,"warm","vege","wf","02","CHE.hi.warm.vege.wf.02"
"CHE","hi",3,1,"ambi","vege","wf","03","CHE.hi.ambi.vege.wf.03"
"CHE","hi",3,2,"warm","bare","wf","03","CHE.hi.warm.bare.wf.03"
"CHE","hi",3,3,"ambi","bare","wf","03","CHE.hi.ambi.bare.wf.03"
"CHE","hi",3,4,"warm","vege","nf","03","CHE.hi.warm.vege.nf.03"
"CHE","hi",3,5,"warm","vege","wf","03","CHE.hi.warm.vege.wf.03"
"CHE","hi",3,6,"ambi","vege","nf","03","CHE.hi.ambi.vege.nf.03"
"CHE","hi",4,1,"ambi","bare","wf","04","CHE.hi.ambi.bare.wf.04"
"CHE","hi",4,2,"warm","vege","wf","04","CHE.hi.warm.vege.wf.04"
"CHE","hi",4,3,"warm","vege","nf","04","CHE.hi.warm.vege.nf.04"
"CHE","hi",4,4,"ambi","vege","nf","04","CHE.hi.ambi.vege.nf.04"
"CHE","hi",4,5,"warm","bare","wf","04","CHE.hi.warm.bare.wf.04"
"CHE","hi",4,6,"ambi","vege","wf","04","CHE.hi.ambi.vege.wf.04"
"CHE","hi",5,1,"ambi","bare","wf","05","CHE.hi.ambi.bare.wf.05"
"CHE","hi",5,2,"warm","vege","wf","05","CHE.hi.warm.vege.wf.05"
"CHE","hi",5,3,"ambi","vege","nf","05","CHE.hi.ambi.vege.nf.05"
"CHE","hi",5,4,"warm","bare","wf","05","CHE.hi.warm.bare.wf.05"
"CHE","hi",5,5,"ambi","vege","wf","05","CHE.hi.ambi.vege.wf.05"
"CHE","hi",5,6,"warm","vege","nf","05","CHE.hi.warm.vege.nf.05"
"CHE","hi",6,1,"warm","bare","wf","06","CHE.hi.warm.bare.wf.06"
"CHE","hi",6,2,"ambi","vege","nf","06","CHE.hi.ambi.vege.nf.06"
"CHE","hi",6,3,"warm","vege","nf","06","CHE.hi.warm.vege.nf.06"
"CHE","hi",6,4,"ambi","vege","wf","06","CHE.hi.ambi.vege.wf.06"
"CHE","hi",6,5,"ambi","bare","wf","06","CHE.hi.ambi.bare.wf.06"
"CHE","hi",6,6,"warm","vege","wf","06","CHE.hi.warm.vege.wf.06"
"CHE","hi",7,1,"warm","bare","wf","07","CHE.hi.warm.bare.wf.07"
"CHE","hi",7,2,"ambi","vege","wf","07","CHE.hi.ambi.vege.wf.07"
"CHE","hi",7,3,"warm","vege","wf","07","CHE.hi.warm.vege.wf.07"
"CHE","hi",7,4,"ambi","bare","wf","07","CHE.hi.ambi.bare.wf.07"
"CHE","hi",8,1,"warm","vege","nf","08","CHE.hi.warm.vege.nf.08"
"CHE","hi",8,2,"ambi","vege","wf","08","CHE.hi.ambi.vege.wf.08"
"CHE","hi",8,3,"ambi","vege","nf","08","CHE.hi.ambi.vege.nf.08"
"CHE","hi",8,4,"warm","bare","wf","08","CHE.hi.warm.bare.wf.08"
"CHE","hi",8,5,"ambi","bare","wf","08","CHE.hi.ambi.bare.wf.08"
"CHE","hi",8,6,"warm","vege","wf","08","CHE.hi.warm.vege.wf.08"
"CHE","hi",9,1,"warm","bare","wf","09","CHE.hi.warm.bare.wf.09"
"CHE","hi",9,2,"ambi","vege","nf","09","CHE.hi.ambi.vege.nf.09"
"CHE","hi",9,3,"warm","vege","nf","09","CHE.hi.warm.vege.nf.09"
"CHE","hi",9,4,"ambi","bare","wf","09","CHE.hi.ambi.bare.wf.09"
"CHE","hi",9,5,"ambi","vege","wf","09","CHE.hi.ambi.vege.wf.09"
"CHE","hi",9,6,"warm","vege","wf","09","CHE.hi.warm.vege.wf.09"
"CHE","hi",10,1,"ambi","vege","nf","10","CHE.hi.ambi.vege.nf.10"
"CHE","hi",10,2,"warm","vege","wf","10","CHE.hi.warm.vege.wf.10"
"CHE","hi",10,3,"ambi","vege","wf","10","CHE.hi.ambi.vege.wf.10"
"CHE","hi",10,4,"warm","bare","wf","10","CHE.hi.warm.bare.wf.10"
"CHE","hi",10,5,"ambi","bare","wf","10","CHE.hi.ambi.bare.wf.10"
"CHE","hi",10,6,"warm","vege","nf","10","CHE.hi.warm.vege.nf.10"
