"species","experiment","stick_no","seedcount"
"brapin","exp1","stick1",3
"brapin","exp1","stick2",4
"brapin","exp1","stick3",4
"brapin","exp1","stick4",11
"brapin","exp1","stick5",6
"brapin","exp1","stick6",2
"brapin","exp1","stick7",7
"brapin","exp1","stick8",6
"brapin","exp1","stick9",6
"brapin","exp1","stick10",9
"brapin","exp1","stick11",9
"brapin","exp1","stick12",7
"brapin","exp1","stick13",6
"brapin","exp1","stick14",8
"brapin","exp1","stick15",8
"brapin","exp1","stick16",5
"brapin","exp1","stick17",5
"brapin","exp1","stick18",11
"brapin","exp1","stick19",4
"brapin","exp1","stick20",7
"broere","exp1","stick1",6
"broere","exp1","stick2",6
"broere","exp1","stick3",9
"broere","exp1","stick4",9
"broere","exp1","stick5",5
"broere","exp1","stick6",6
"broere","exp1","stick7",5
"broere","exp1","stick8",10
"broere","exp1","stick9",5
"broere","exp1","stick10",7
"broere","exp1","stick11",7
"broere","exp1","stick12",10
"broere","exp1","stick13",9
"broere","exp1","stick14",9
"broere","exp1","stick15",7
"broere","exp1","stick16",6
"broere","exp1","stick17",5
"broere","exp1","stick18",7
"broere","exp1","stick19",5
"broere","exp1","stick20",0
"cenjac","exp1","stick1",14
"cenjac","exp1","stick2",18
"cenjac","exp1","stick3",9
"cenjac","exp1","stick4",7
"cenjac","exp1","stick5",8
"cenjac","exp1","stick6",6
"cenjac","exp1","stick7",17
"cenjac","exp1","stick8",7
"cenjac","exp1","stick9",7
"cenjac","exp1","stick10",9
"cenjac","exp1","stick11",9
"cenjac","exp1","stick12",11
"cenjac","exp1","stick13",12
"cenjac","exp1","stick14",11
"cenjac","exp1","stick15",10
"cenjac","exp1","stick16",12
"cenjac","exp1","stick17",12
"cenjac","exp1","stick18",12
"cenjac","exp1","stick19",8
"cenjac","exp1","stick20",10
"daucar","exp1","stick1",10
"daucar","exp1","stick2",12
"daucar","exp1","stick3",10
"daucar","exp1","stick4",13
"daucar","exp1","stick5",12
"daucar","exp1","stick6",18
"daucar","exp1","stick7",9
"daucar","exp1","stick8",10
"daucar","exp1","stick9",22
"daucar","exp1","stick10",11
"daucar","exp1","stick11",6
"daucar","exp1","stick12",14
"daucar","exp1","stick13",14
"daucar","exp1","stick14",14
"daucar","exp1","stick15",12
"daucar","exp1","stick16",10
"daucar","exp1","stick17",16
"daucar","exp1","stick18",9
"daucar","exp1","stick19",9
"daucar","exp1","stick20",6
"hypper","exp1","stick1",26
"hypper","exp1","stick2",35
"hypper","exp1","stick3",33
"hypper","exp1","stick4",39
"hypper","exp1","stick5",37
"hypper","exp1","stick6",21
"hypper","exp1","stick7",28
"hypper","exp1","stick8",11
"hypper","exp1","stick9",21
"hypper","exp1","stick10",37
"hypper","exp1","stick11",36
"hypper","exp1","stick12",20
"hypper","exp1","stick13",20
"hypper","exp1","stick14",27
"hypper","exp1","stick15",37
"hypper","exp1","stick16",16
"hypper","exp1","stick17",59
"hypper","exp1","stick18",33
"hypper","exp1","stick19",24
"hypper","exp1","stick20",40
"medlup","exp1","stick1",9
"medlup","exp1","stick2",12
"medlup","exp1","stick3",7
"medlup","exp1","stick4",5
"medlup","exp1","stick5",10
"medlup","exp1","stick6",10
"medlup","exp1","stick7",10
"medlup","exp1","stick8",6
