"unique_plant_ID","species","date_collection","counter","inflorescence_size","no_seeds","seedweight"
"CHE.lo.ambi.bare.wf.09.27.1","medlup",2022-06-23,"LS",NA,18,0.0012195
"CHE.lo.ambi.bare.wf.04.27.2","medlup",2022-06-23,"LS",NA,21,0.00111666666666667
"CHE.lo.ambi.bare.wf.05.27.2","medlup",2022-06-23,"LS",NA,19,0.001757
"CHE.lo.ambi.bare.wf.08.09.2","medlup",2022-06-23,"LS",NA,22,0.00104636363636364
"CHE.lo.ambi.bare.wf.10.09.1","medlup",2022-06-23,"LS",NA,22,0.000962727272727273
"CHE.lo.ambi.bare.wf.01.09.2","medlup",2022-06-23,"LS",NA,28,0.000390714285714286
"CHE.lo.ambi.bare.wf.05.18.2","hypper",2022-08-29,"LS",NA,61,8e-05
"CHE.lo.ambi.bare.wf.04.05.2","hypper",2022-08-29,"LS",NA,66,7.40909090909091e-05
"CHE.lo.ambi.bare.wf.03.18.2","hypper",2022-08-29,"LS",NA,85,5.36470588235294e-05
"CHE.lo.ambi.bare.wf.01.05.2","hypper",2022-08-29,"LS",NA,77,6.25974025974026e-05
"CHE.lo.ambi.bare.wf.02.15.2","hypper",2022-08-29,"LS",NA,93,5.24731182795699e-05
"CHE.lo.ambi.bare.wf.06.22.2","silvul",2022-06-23,"LS",NA,85,5.24705882352941e-05
"CHE.lo.ambi.bare.wf.01.11.1","silvul",2022-06-23,"LS",NA,28,0.000562
"CHE.lo.ambi.bare.wf.05.11.3","silvul",2022-06-23,"LS",NA,37,0.000188918918918919
"CHE.lo.ambi.bare.wf.10.11.2","silvul",2022-06-23,"LS",NA,30,0.000587
"CHE.lo.ambi.bare.wf.03.11.1","silvul",2022-06-23,"LS",NA,57,0.000134912280701754
"CHE.lo.ambi.bare.wf.02.09.2","medlup",2022-06-23,"LS",NA,16,0.0013915
"CHE.lo.ambi.bare.wf.07.27.2","medlup",2022-06-23,"LS",NA,17,0.0013975
"CHE.lo.ambi.bare.wf.06.21.1","medlup",2022-06-23,"LS",NA,18,0.001344
"CHE.lo.ambi.bare.wf.06.27.2","medlup",2022-06-23,"LS",NA,19,0.0008865
"CHE.lo.ambi.bare.wf.03.21.1","medlup",2022-06-23,"LS",NA,28,0.000882142857142857
"CHE.lo.ambi.bare.wf.07.24.3","scacol",2022-06-29,"LS",NA,65,0.000647076923076923
"CHE.lo.ambi.bare.wf.06.06.3","scacol",2022-06-29,"LS",NA,103,0.000176504854368932
"CHE.lo.ambi.bare.wf.10.23.1","scacol",2022-06-29,"LS",NA,98,0.000297551020408163
"CHE.lo.ambi.bare.wf.05.24.3","scacol",2022-06-29,"LS",NA,43,0.000888837209302326
"CHE.lo.ambi.bare.wf.08.06.1","scacol",2022-06-29,"LS",NA,60,0.000572
"CHE.lo.ambi.bare.wf.10.26.1","salpra",2022-06-23,"LS",140,53,0.000554150943396226
"CHE.lo.ambi.bare.wf.07.28.2","salpra",2022-06-23,"LS",203,122,0.000255081967213115
"CHE.lo.ambi.bare.wf.06.28.1","salpra",2022-06-23,"LS",138,100,0.0001672
"CHE.lo.ambi.bare.wf.03.26.1","salpra",2022-06-23,"LS",240,197,9.49746192893401e-05
"CHE.lo.ambi.bare.wf.02.26.2","salpra",2022-06-23,"LS",170,92,0.000193260869565217
"CHE.lo.ambi.vege.wf.10.30.1","cenjac",2022-07-14,"LS",NA,47,0.00104234042553191
"CHE.lo.ambi.vege.wf.03.25.1","cenjac",2022-07-14,"LS",NA,10,0.001701
"CHE.lo.ambi.vege.wf.03.14.1","cenjac",2022-07-14,"LS",NA,52,0.000774615384615385
"CHE.lo.ambi.vege.wf.06.25.1","cenjac",2022-07-14,"LS",NA,33,0.00086030303030303
"CHE.lo.ambi.vege.wf.06.30.1","cenjac",2022-07-14,"LS",NA,18,0.00201611111111111
"CHE.lo.ambi.vege.wf.02.21.1","medlup",2022-06-30,"LS",NA,8,0.001134
"CHE.lo.ambi.vege.wf.01.21.1","medlup",2022-06-30,"LS",NA,20,0.001409
"CHE.lo.ambi.vege.wf.09.09.1","medlup",2022-07-07,"LS",NA,10,0.0010915
"CHE.lo.ambi.vege.wf.03.09.1","medlup",2022-06-30,"LS",NA,12,0.000872
"CHE.lo.ambi.vege.wf.10.21.1","medlup",2022-06-30,"LS",NA,5,0.000824545454545455
"CHE.lo.ambi.vege.wf.01.09.1","medlup",2022-06-30,"LS",NA,10,0.001358
"CHE.lo.ambi.vege.wf.04.27.1","medlup",2022-06-30,"LS",NA,20,0.001311
"CHE.lo.ambi.vege.wf.03.21.1","medlup",2022-06-30,"LS",NA,8,0.00110133333333333
"CHE.lo.ambi.vege.wf.06.21.1","medlup",2022-06-30,"LS",NA,7,0.000783571428571429
"CHE.lo.ambi.vege.wf.07.09.3","medlup",2022-06-30,"LS",NA,14,0.0008775
"CHE.lo.ambi.vege.wf.05.27.1","medlup",2022-06-30,"LS",NA,16,0.001162
"CHE.hi.warm.vege.wf.07.24.1","scacol",2022-08-17,"LS",NA,66,0.000206212121212121
"CHE.hi.warm.bare.wf.08.23.1","scacol",2022-08-10,"LS",NA,28,0.00155392857142857
"CHE.hi.ambi.vege.wf.08.30.1","cenjac",2022-08-03,"LS",NA,14,0.00139428571428571
"CHE.hi.ambi.vege.wf.08.25.1","cenjac",2022-08-03,"LS",NA,17,0.00122235294117647
"CHE.hi.ambi.bare.wf.01.26.1","salpra",2022-07-06,"LS",102,65,0.000264307692307692
"CHE.hi.ambi.bare.wf.07.28.1","salpra",2022-07-08,"LS",145,85,0.000199294117647059
"CHE.hi.ambi.bare.wf.06.28.1","salpra",2022-07-08,"LS",145,35,0.000418857142857143
"CHE.hi.ambi.bare.wf.07.19.1","salpra",2022-07-06,"LS",106,76,0.000246578947368421
"CHE.hi.warm.vege.wf.09.30.1","cenjac",2022-08-03,"LS",NA,2,0.0013
"CHE.hi.warm.vege.wf.07.14.1","cenjac",2022-08-03,"LS",NA,17,0.00138176470588235
"CHE.hi.warm.vege.wf.08.14.1","cenjac",2022-08-03,"LS",NA,23,0.00135869565217391
"CHE.hi.warm.vege.wf.07.30.1","cenjac",2022-08-03,"LS",NA,11,0.00112166666666667
"CHE.hi.warm.vege.wf.10.14.1","cenjac",2022-08-03,"LS",NA,12,0.00230833333333333
"CHE.hi.ambi.bare.wf.08.18.1","hypper",2022-10-05,"LS",NA,0,NA
"CHE.hi.ambi.bare.wf.08.15.1","hypper",2022-09-26,"LS",NA,46,3.95652173913044e-05
"CHE.hi.ambi.bare.wf.10.05.1","hypper",2022-10-05,"LS",NA,37,5.83783783783784e-05
"CHE.hi.ambi.bare.wf.09.15.1","hypper",2022-10-05,"LS",NA,24,3.45833333333333e-05
"CHE.hi.ambi.bare.wf.06.15.1","hypper",2022-10-05,"LS",NA,0,NA
"CHE.hi.warm.bare.wf.07.18.1","hypper",2022-10-05,"LS",NA,11,7.90909090909091e-05
"CHE.hi.warm.bare.wf.02.05.1","hypper",2022-10-05,"LS",NA,45,0.000113478260869565
"CHE.hi.warm.bare.wf.06.18.1","hypper",2022-10-05,"LS",NA,69,7.89855072463768e-05
"CHE.hi.warm.bare.wf.06.15.1","hypper",2022-09-26,"LS",NA,58,5.58620689655172e-05
"CHE.hi.warm.bare.wf.08.15.1","hypper",2022-10-05,"LS",NA,62,5.19354838709677e-05
"CHE.hi.ambi.vege.wf.04.30.1","cenjac",2022-08-17,"LS",NA,20,0.001457
"CHE.hi.warm.vege.wf.02.30.1","cenjac",2022-08-10,"LS",NA,2,0.001215
"CHE.hi.warm.bare.wf.10.30.1","cenjac",2022-08-16,"LS",NA,39,0.000698717948717949
"CHE.lo.ambi.vege.wf.01.18.1","hypper",2022-08-29,"LS",NA,36,6.94444444444444e-05
"CHE.lo.ambi.vege.wf.06.15.1","hypper",2022-08-10,"LS",NA,26,3.88372093023256e-05
"CHE.lo.ambi.vege.wf.02.05.1","hypper",2022-08-29,"LS",NA,79,4.39240506329114e-05
"CHE.lo.ambi.vege.wf.03.15.1","hypper",2022-08-29,"LS",NA,86,9.02923976608187e-05
"CHE.lo.ambi.vege.wf.04.18.1","hypper",2022-08-29,"LS",NA,42,5.78571428571429e-05
"CHE.lo.ambi.vege.wf.03.18.1","hypper",2022-08-29,"LS",NA,76,9.33986928104575e-05
"CHE.hi.ambi.bare.wf.05.05.1","hypper",2022-09-26,"LS",NA,27,3.51851851851852e-05
"CHE.hi.ambi.bare.wf.04.18.2","hypper",2022-09-26,"LS",NA,26,5.76923076923077e-05
"CHE.hi.ambi.bare.wf.03.05.1","hypper",2022-09-26,"LS",NA,30,1.73333333333333e-05
"CHE.hi.ambi.bare.wf.02.18.1","hypper",2022-09-26,"LS",NA,19,5.94736842105263e-05
"CHE.hi.ambi.bare.wf.01.18.1","hypper",2022-09-26,"LS",NA,47,6.1063829787234e-05
"CHE.hi.warm.bare.wf.04.05.1","hypper",2022-10-05,"LS",NA,0,NA
"CHE.hi.warm.bare.wf.05.18.1","hypper",2022-10-05,"LS",NA,23,3.60869565217391e-05
"CHE.hi.warm.vege.wf.03.15.1","hypper",2022-10-05,"LS",NA,0,NA
"CHE.hi.warm.bare.wf.01.18.1","hypper",2022-10-05,"LS",NA,32,2.15625e-05
"CHE.hi.warm.bare.wf.02.15.1","hypper",2022-10-05,"LS",NA,19,0.000126315789473684
"CHE.lo.ambi.bare.wf.07.18.2","hypper",2022-08-29,"LS",NA,68,3.26277372262774e-05
