"germination_position_ID","germination_seedling_ID","species","functional_group","date_measurement","date_sowing","collector","seed_origin","height_vegetative_str","leaf_length1","leaf_length2","leaf_length3","number_leaves","dry_mass"
"CHE.hi.exp2.warm.vege.01.091","CHE.hi.exp2.warm.vege.01.091.1","silvul","forb",2023-09-04,2022-10-10,"EI","collected",5,5,2,1,5,NA
"CHE.hi.exp2.warm.vege.01.107","CHE.hi.exp2.warm.vege.01.107.1","silvul","forb",2023-09-04,2022-10-10,"EI","collected",7,6,6,5,4,0.001
"CHE.hi.exp2.warm.vege.01.074","CHE.hi.exp2.warm.vege.01.074.1","silvul","forb",2023-09-04,2022-10-10,"EI","collected",8,6,5,2,4,1e-04
"CHE.hi.exp2.warm.vege.01.023","CHE.hi.exp2.warm.vege.01.023.1","silvul","forb",2023-09-04,2022-10-10,"EI","collected",8,4,5,5,6,0.0021
"CHE.hi.exp2.warm.bare.01.015","CHE.hi.exp2.warm.bare.01.015.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",18,8,6,6,5,0.0202
"CHE.hi.exp2.warm.bare.01.018","CHE.hi.exp2.warm.bare.01.018.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",16,4,4,4,3,0.0063
"CHE.hi.exp2.warm.bare.01.057","CHE.hi.exp2.warm.bare.01.057.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",3,11,12,12,6,0.0529
"CHE.hi.exp2.warm.bare.01.060","CHE.hi.exp2.warm.bare.01.060.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",32,7,6,7,5,0.0228
"CHE.hi.exp2.warm.bare.01.079","CHE.hi.exp2.warm.bare.01.079.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",38,10,9,10,5,0.0371
"CHE.hi.exp2.warm.bare.01.084","CHE.hi.exp2.warm.bare.01.084.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",37,10,9,7,5,0.0304
"CHE.hi.exp2.warm.bare.01.102","CHE.hi.exp2.warm.bare.01.102.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",36,7,8,9,6,0.0365
"CHE.hi.exp2.warm.bare.01.121","CHE.hi.exp2.warm.bare.01.121.1","medlup","legume",2023-09-05,2022-10-10,"EI","collected",32,8,8,5,5,0.0178
"CHE.hi.exp2.warm.bare.01.023","CHE.hi.exp2.warm.bare.01.023.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",7,5,5,5,8,0.0079
"CHE.hi.exp2.warm.bare.01.032","CHE.hi.exp2.warm.bare.01.032.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",6,5,5,4,6,0.0025
"CHE.hi.exp2.warm.bare.01.033","CHE.hi.exp2.warm.bare.01.033.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",6,6,5,6,4,0.0026
"CHE.hi.exp2.warm.bare.01.007","CHE.hi.exp2.warm.bare.01.007.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",9,8,7,7,6,0.0058
"CHE.hi.exp2.warm.bare.01.107","CHE.hi.exp2.warm.bare.01.107.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",29,21,20,21,14,0.0539
"CHE.hi.exp2.warm.bare.01.046","CHE.hi.exp2.warm.bare.01.046.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",17,17,16,17,8,0.0113
"CHE.hi.exp2.warm.bare.01.049","CHE.hi.exp2.warm.bare.01.049.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",8,6,7,6,6,0.0034
"CHE.hi.exp2.warm.bare.01.091","CHE.hi.exp2.warm.bare.01.091.1","silvul","forb",2023-09-05,2022-10-10,"EI","collected",8,8,7,7,6,0.0063
"CHE.hi.exp2.warm.bare.01.012","CHE.hi.exp2.warm.bare.01.012.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",36,33,26,27,5,0.0261
"CHE.hi.exp2.warm.bare.01.028","CHE.hi.exp2.warm.bare.01.028.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",32,26,25,24,7,0.0396
"CHE.hi.exp2.warm.bare.01.038","CHE.hi.exp2.warm.bare.01.038.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",21,18,16,12,6,0.0127
"CHE.hi.exp2.warm.bare.01.042","CHE.hi.exp2.warm.bare.01.042.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",63,63,52,57,5,0.0573
"CHE.hi.exp2.warm.bare.01.096","CHE.hi.exp2.warm.bare.01.096.1","cenjac","forb",2023-09-05,2022-10-10,"EI","commercial",29,27,25,26,4,0.0181
