unique_plot_ID,veg_height
CHE.lo.ambi.vege.wf.09,233
CHE.lo.ambi.vege.wf.08,190
CHE.lo.ambi.vege.wf.07,164
CHE.lo.ambi.vege.wf.06,355
CHE.lo.ambi.vege.wf.10,225
CHE.lo.ambi.vege.wf.04,288
CHE.lo.ambi.vege.wf.01,230
CHE.lo.ambi.vege.wf.02,228
CHE.lo.ambi.vege.wf.05,415
CHE.lo.ambi.vege.wf.03,414
CHE.hi.ambi.vege.wf.02,182
CHE.hi.ambi.vege.nf.02,17
CHE.hi.warm.vege.nf.02,85
CHE.hi.warm.vege.wf.02,165
CHE.hi.ambi.vege.wf.03,112
CHE.hi.warm.vege.nf.03,73
CHE.hi.warm.vege.wf.03,54
CHE.hi.ambi.vege.nf.03,52
CHE.hi.warm.vege.wf.05,58
CHE.hi.ambi.vege.nf.05,172
CHE.hi.warm.vege.nf.05,61
CHE.hi.ambi.vege.wf.05,62
CHE.hi.warm.vege.wf.04,95
CHE.hi.warm.vege.wf.01,100
CHE.hi.warm.vege.nf.04,54
CHE.hi.ambi.vege.wf.04,85
CHE.hi.ambi.vege.nf.04,98
CHE.hi.ambi.vege.wf.01,93
CHE.hi.ambi.vege.wf.06,74
CHE.hi.ambi.vege.nf.06,105
CHE.hi.warm.vege.nf.06,42
CHE.hi.warm.vege.wf.06,78
CHE.hi.warm.vege.wf.07,61
CHE.hi.ambi.vege.wf.07,73
CHE.hi.ambi.vege.nf.08,64
CHE.hi.ambi.vege.wf.08,89
CHE.hi.warm.vege.nf.08,79
CHE.hi.warm.vege.wf.08,188
CHE.hi.warm.vege.nf.09,101
CHE.hi.ambi.vege.nf.09,51
CHE.hi.warm.vege.wf.09,84
CHE.hi.ambi.vege.wf.09,28
CHE.hi.warm.vege.nf.10,66
CHE.hi.ambi.vege.wf.10,50
CHE.hi.warm.vege.wf.10,65
CHE.hi.ambi.vege.nf.10,42
CHE.lo.ambi.vege.wf.09,250
CHE.lo.ambi.vege.wf.08,252
CHE.lo.ambi.vege.wf.07,158
CHE.lo.ambi.vege.wf.06,200
CHE.lo.ambi.vege.wf.10,357
CHE.lo.ambi.vege.wf.04,240
CHE.lo.ambi.vege.wf.01,362
CHE.lo.ambi.vege.wf.02,368
CHE.lo.ambi.vege.wf.05,556
CHE.lo.ambi.vege.wf.03,452
CHE.hi.ambi.vege.wf.02,100
CHE.hi.ambi.vege.nf.02,43
CHE.hi.warm.vege.nf.02,62
CHE.hi.warm.vege.wf.02,58
CHE.hi.ambi.vege.wf.03,80
CHE.hi.warm.vege.nf.03,20
CHE.hi.warm.vege.wf.03,45
CHE.hi.ambi.vege.nf.03,188
CHE.hi.warm.vege.wf.05,62
CHE.hi.ambi.vege.nf.05,134
CHE.hi.warm.vege.nf.05,94
CHE.hi.ambi.vege.wf.05,49
CHE.hi.warm.vege.wf.04,86
CHE.hi.warm.vege.wf.01,48
CHE.hi.warm.vege.nf.04,32
CHE.hi.ambi.vege.wf.04,99
CHE.hi.ambi.vege.nf.04,97
CHE.hi.ambi.vege.wf.01,104
CHE.hi.ambi.vege.wf.06,85
CHE.hi.ambi.vege.nf.06,73
CHE.hi.warm.vege.nf.06,67
CHE.hi.warm.vege.wf.06,82
CHE.hi.warm.vege.wf.07,62
CHE.hi.ambi.vege.wf.07,81
CHE.hi.ambi.vege.nf.08,56
CHE.hi.ambi.vege.wf.08,113
CHE.hi.warm.vege.nf.08,98
CHE.hi.warm.vege.wf.08,108
CHE.hi.warm.vege.nf.09,31
CHE.hi.ambi.vege.nf.09,112
CHE.hi.warm.vege.wf.09,81
CHE.hi.ambi.vege.wf.09,80
CHE.hi.warm.vege.nf.10,52
CHE.hi.ambi.vege.wf.10,86
CHE.hi.warm.vege.wf.10,262
