"unique_plant_ID","species","functional_group","date_measurement","date_planting","collector","survival","height_vegetative_str","height_reproductive_str","height_vegetative","height_reproductive","vegetative_width","height_nathan","stem_diameter","leaf_length1","leaf_length2","leaf_length3","leaf_width","petiole_length","number_leaves","number_tillers","number_branches","number_leafclusters","number_flowers","mean_inflorescence_size","herbivory"
"CHE.lo.ambi.bare.wf.10.01.1","brapin","graminoid",2021-08-16,2021-06-16,"PS","1",220,NA,NA,NA,NA,NA,NA,110,145,116,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.02.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",258,NA,NA,NA,NA,NA,NA,212,259,206,NA,NA,21,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.03.3","broere","graminoid",2021-08-16,2021-06-28,"PS","1",115,NA,NA,NA,NA,NA,NA,110,94,88,NA,NA,16,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.04.2","broere","graminoid",2021-08-16,2021-06-22,"PS","1",232,NA,NA,NA,NA,NA,NA,28,27,27,NA,NA,241,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.05.1","hypper","forb",2021-08-16,2021-06-16,"PS","1",64,NA,NA,NA,NA,NA,NA,55,52,48,NA,NA,17,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.06.3","scacol","forb",2021-08-16,2021-06-24,"PS","1",143,NA,NA,NA,NA,NA,NA,131,87,100,NA,NA,26,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.07.3","broere","graminoid",2021-08-16,2021-07-05,"PS","1",143,NA,NA,NA,NA,NA,NA,131,87,100,NA,NA,26,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.10.08.2","brapin","graminoid",2021-08-16,2021-06-22,"PS","1",220,NA,NA,NA,NA,NA,NA,141,121,70,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.09.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",240,224,NA,NA,NA,NA,NA,18,17,17,NA,NA,164,NA,NA,NA,46,NA,"0"
"CHE.lo.ambi.bare.wf.10.10.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",41,NA,NA,NA,NA,NA,NA,38,30,29,NA,NA,8,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.11.2","silvul","forb",2021-08-16,2021-07-05,"PS","1",77,NA,NA,NA,NA,NA,NA,37,36,34,NA,NA,101,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.12.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",203,NA,NA,NA,NA,NA,NA,184,178,196,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.13.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",257,NA,NA,NA,NA,NA,NA,242,235,201,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.14.2","cenjac","forb",2021-08-16,2021-06-22,"PS","1",156,NA,NA,NA,NA,NA,NA,242,235,201,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.15.2","hypper","forb",2021-08-16,2021-06-22,"PS","1",187,NA,NA,NA,NA,NA,NA,26,26,25,NA,NA,329,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.16.1","brapin","graminoid",2021-08-16,2021-06-16,"PS","1",104,NA,NA,NA,NA,NA,NA,76,64,65,NA,NA,37,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.17.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",66,16,NA,NA,NA,NA,NA,65,64,65,NA,NA,11,NA,NA,NA,1,1,"0"
"CHE.lo.ambi.bare.wf.10.18.2","hypper","forb",2021-08-16,2021-06-22,"PS","1",143,NA,NA,NA,NA,NA,NA,21,22,23,NA,NA,185,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.19.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",118,NA,NA,NA,NA,NA,NA,120,100,106,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.20.2","silvul","forb",2021-08-16,2021-06-22,"PS","1",186,376,NA,NA,NA,NA,NA,55,53,54,NA,NA,488,NA,NA,NA,49,NA,"0"
"CHE.lo.ambi.bare.wf.10.21.1","medlup","legume",2021-08-16,2021-06-16,"PS","1",248,287,NA,NA,NA,NA,NA,18,19,16,NA,NA,160,NA,NA,NA,37,NA,"0"
"CHE.lo.ambi.bare.wf.10.22.1","silvul","forb",2021-08-16,2021-06-16,"PS","1",105,NA,NA,NA,NA,NA,NA,28,27,27,NA,NA,136,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.23.1","scacol","forb",2021-08-16,2021-06-16,"PS","1",78,NA,NA,NA,NA,NA,NA,72,66,58,NA,NA,25,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.24.3","scacol","forb",2021-08-16,2021-06-24,"PS","1",78,NA,NA,NA,NA,NA,NA,72,66,74,NA,NA,18,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.25.2","cenjac","forb",2021-08-16,2021-06-22,"PS","1",146,NA,NA,NA,NA,NA,NA,137,115,130,NA,NA,17,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.26.1","salpra","forb",2021-08-16,2021-06-16,"PS","1",90,NA,NA,NA,NA,NA,NA,95,94,86,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.27.2","medlup","legume",2021-08-16,2021-06-22,"PS","1",270,279,NA,NA,NA,NA,NA,16,14,17,NA,NA,214,NA,NA,NA,33,NA,"0"
"CHE.lo.ambi.bare.wf.10.28.2","salpra","forb",2021-08-16,2021-06-22,"PS","1",114,NA,NA,NA,NA,NA,NA,108,86,103,NA,NA,27,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.29.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",48,NA,NA,NA,NA,NA,NA,52,47,51,NA,NA,11,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.10.30.2","cenjac","forb",2021-08-16,2021-06-22,"PS","1",146,NA,NA,NA,NA,NA,NA,133,137,106,NA,NA,14,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.01.2","brapin","graminoid",2021-08-16,2021-06-22,"PS","1",171,NA,NA,NA,NA,NA,NA,80,119,94,NA,NA,29,NA,NA,NA,NA,NA,"1"
"CHE.lo.ambi.bare.wf.09.02.2","daucar","forb",2021-08-16,2021-06-22,"PS","1",249,NA,NA,NA,NA,NA,NA,208,206,226,NA,NA,15,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.03.3","broere","graminoid",NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE.lo.ambi.bare.wf.09.04.2","broere","graminoid",2021-08-16,2021-06-24,"PS","1",245,NA,NA,NA,NA,NA,NA,216,238,150,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.05.2","hypper","forb",2021-08-16,2021-06-22,"PS","1",180,NA,NA,NA,NA,NA,NA,26,21,28,NA,NA,207,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.06.3","scacol","forb",2021-08-16,2021-07-05,"PS","1",64,NA,NA,NA,NA,NA,NA,63,58,56,NA,NA,12,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.07.2","broere","graminoid",2021-08-16,2021-06-22,"PS","1",254,NA,NA,NA,NA,NA,NA,231,160,0,NA,NA,2,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.08.2","brapin","graminoid",2021-08-16,2021-06-22,"PS","1",131,NA,NA,NA,NA,NA,NA,93,89,100,NA,NA,24,NA,NA,NA,NA,NA,"0"
"CHE.lo.ambi.bare.wf.09.09.2","medlup","legume",2021-08-16,2021-06-22,"PS","1",64,25,NA,NA,NA,NA,NA,14,15,15,NA,NA,81,NA,NA,NA,3,NA,"0"
"CHE.lo.ambi.bare.wf.09.10.2","plamed","forb",2021-08-16,2021-06-22,"PS","1",63,250,NA,NA,NA,NA,NA,65,60,57,NA,NA,7,NA,NA,NA,1,21,"0"
