"","Species","Min_Altitude","Max_Altitude","Avg_Altitude","SpeciesAverageCover","NumberOfSites","AltitudeRange"
"1","Arenaria.serpyllifolia.L.",661.1,976.7,781.14,0.1,5,315.6
"2","Berberis.vulgaris.L.",566.9,880,729.96,2.82,10,313.1
"3","Betula.pendula.Roth",740.2,923,831.6,21,2,182.8
"4","Brachypodium.pinnatum..L...P..Beauv.",587.1,1605.5,960.828947368421,15.8736842105263,38,1018.4
"5","Campanula.rotundifolia.L.",679.7,2261.5,1190.34,0.213333333333333,30,1581.8
"6","Cardamine.pratensis.L.",740.2,740.2,740.2,0.5,1,0
"7","Carex.caryophyllea.Latourr.",630.7,2177.8,1333.7446969697,2.75984848484848,132,1547.1
"8","Carex.humilis.Leyss.",623.7,2013.1,1020.95945945946,11.0013513513514,74,1389.4
"9","Carex.montana.L.",635.8,1898.6,1206.23518518519,8.29259259259259,54,1262.8
"10","Carex.ornithopoda.Willd.",623.7,2273.5,1749.2048,1.5688,125,1649.8
"11","Carex.sylvatica.Huds.",740.2,1898.6,1211.45555555556,1.38333333333333,18,1158.4
"12","Cerastium.fontanum.Baumg.",614.1,2269.3,1362.2904109589,0.2,73,1655.2
"13","Corylus.avellana.L.",566.9,1548.5,826.175862068966,24.8844827586207,29,981.6
"14","Cotoneaster.horizontalis.Decne.",621,746,701.225,1.525,4,125
"15","Danthonia.decumbens..L...DC.",635.8,1738.1,1002.95625,1.0875,32,1102.3
"16","Festuca.ovina.aggr.",666.4,2352.9,1024.865625,4.025,32,1686.5
"17","Fragaria.vesca.L.",623.7,2003.6,1205.3387755102,2.40612244897959,98,1379.9
"18","Frangula.alnus.Mill.",587.1,784.9,696.871428571429,1.02857142857143,7,197.8
"19","Galium.rotundifolium.L.",664.1,1408.7,963.585714285714,0.442857142857143,7,744.6
"20","Hedera.helix.L.",587.1,984.6,714.895454545455,2.9,22,397.5
"21","Helianthemum.nummularium..L...Mill.",635.8,2330.2,1575.40625,4.72548076923077,208,1694.4
"22","Hepatica.nobilis.Schreb.",566.9,1889.7,1192.60666666667,1.16555555555556,90,1322.8
"23","Hypericum.perforatum.L.",693.2,1414.6,1029.89444444444,1.11666666666667,18,721.4
"24","Juglans.regia.L.",566.9,1176.9,768.966666666667,14.0666666666667,9,610
"25","Larix.decidua.Mill.",740.2,2219.8,1571.45227272727,25.9193181818182,44,1479.6
"26","Leontodon.hispidus.L.",635.8,2499.4,1532.38580246914,3.05987654320988,162,1863.6
