species,site,treat_combi,treat_warm,treat_comp,lambda,lower_BCPI,upper_BCPI
brapin,hi,bare.ambi,ambi,bare,1.41,1.21,1.53
brapin,hi,bare.warm,warm,bare,0.80,0.65,0.91
brapin,hi,vege.ambi,ambi,vege,0.94,0.79,0.99
brapin,hi,vege.warm,warm,vege,0.88,0.65,0.98
brapin,lo,bare.ambi,ambi,bare,1.95,1.37,2.40
brapin,lo,vege.ambi,ambi,vege,1.25,1.00,1.50
broere,hi,bare.ambi,ambi,bare,2.06,1.75,2.28
broere,hi,bare.warm,warm,bare,1.26,1.06,1.29
broere,hi,vege.ambi,ambi,vege,1.00,1.00,1.02
broere,hi,vege.warm,warm,vege,1.18,1.06,1.38
broere,lo,bare.ambi,ambi,bare,4.85,3.87,5.98
broere,lo,vege.ambi,ambi,vege,1.11,0.50,1.33
cenjac,hi,bare.ambi,ambi,bare,6.05,5.10,6.64
cenjac,hi,bare.warm,warm,bare,5.07,4.25,5.51
cenjac,hi,vege.ambi,ambi,vege,1.40,1.23,1.53
cenjac,hi,vege.warm,warm,vege,1.67,1.50,1.89
cenjac,lo,bare.ambi,ambi,bare,6.88,5.02,9.57
cenjac,lo,vege.ambi,ambi,vege,1.28,1.11,1.32
daucar,hi,bare.ambi,ambi,bare,4.37,2.52,6.31
daucar,hi,bare.warm,warm,bare,4.42,2.61,6.94
daucar,hi,vege.ambi,ambi,vege,5.60,3.79,7.89
daucar,hi,vege.warm,warm,vege,2.75,1.86,4.40
daucar,lo,bare.ambi,ambi,bare,2.24,0.18,8.03
daucar,lo,vege.ambi,ambi,vege,4.56,2.91,7.30
hypper,hi,bare.ambi,ambi,bare,2.63,1.71,3.16
hypper,hi,bare.warm,warm,bare,1.92,1.12,2.26
hypper,hi,vege.ambi,ambi,vege,1.34,1.17,1.56
hypper,hi,vege.warm,warm,vege,0.84,0.68,0.96
hypper,lo,bare.ambi,ambi,bare,11.84,7.23,17.85
hypper,lo,vege.ambi,ambi,vege,2.93,2.11,3.54
medlup,hi,bare.ambi,ambi,bare,3.36,2.57,4.31
medlup,hi,bare.warm,warm,bare,1.88,1.38,2.56
medlup,hi,vege.ambi,ambi,vege,2.04,1.20,4.56
medlup,hi,vege.warm,warm,vege,1.08,0.75,1.48
medlup,lo,bare.ambi,ambi,bare,2.63,1.70,4.64
medlup,lo,vege.ambi,ambi,vege,0.51,0.33,0.64
plamed,hi,bare.ambi,ambi,bare,1.30,1.01,1.33
plamed,hi,bare.warm,warm,bare,0.96,0.79,0.94
plamed,hi,vege.ambi,ambi,vege,1.07,0.97,1.21
plamed,hi,vege.warm,warm,vege,0.69,0.43,0.95
plamed,lo,bare.ambi,ambi,bare,3.55,1.45,5.60
plamed,lo,vege.ambi,ambi,vege,1.01,0.90,1.16
salpra,hi,bare.ambi,ambi,bare,1.57,1.26,1.70
salpra,hi,bare.warm,warm,bare,1.02,0.84,1.10
salpra,hi,vege.ambi,ambi,vege,0.99,0.97,1.00
salpra,hi,vege.warm,warm,vege,0.99,0.96,1.00
salpra,lo,bare.ambi,ambi,bare,2.11,1.56,2.62
salpra,lo,vege.ambi,ambi,vege,0.91,0.73,1.00
scacol,hi,bare.ambi,ambi,bare,2.13,1.40,2.50
scacol,hi,bare.warm,warm,bare,2.49,1.64,2.91
scacol,hi,vege.ambi,ambi,vege,0.90,0.74,0.96
scacol,hi,vege.warm,warm,vege,1.02,0.84,1.11
scacol,lo,bare.ambi,ambi,bare,12.90,8.19,20.41
scacol,lo,vege.ambi,ambi,vege,1.16,0.99,1.46
silvul,hi,bare.ambi,ambi,bare,5.12,3.70,6.57
silvul,hi,bare.warm,warm,bare,2.60,1.90,3.38
silvul,hi,vege.ambi,ambi,vege,0.91,0.79,0.99
silvul,hi,vege.warm,warm,vege,0.90,0.80,0.96
silvul,lo,bare.ambi,ambi,bare,3.83,2.16,7.89
silvul,lo,vege.ambi,ambi,vege,0.89,0.79,1.07
