site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,brapin,bare.ambi,survival,234,38.96674290710507,251.88314177538143,190011.34754442083,29333.957724736752,NA,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,size_t1_log,115,0.5425299575683387,1.5258140726718838,0.2839734293130094,0.10456997994007194,0.9443510991593288,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,flower_status,349,1.644819574641147,-1.2147139711674297,0.3038770743429712,0.3199658438429435,NA,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,number_seeds,44,1.4664216679355526,0.8240208777757905,0.24295621649637458,0.12406534314941751,NA,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,germ_rate,180,NA,-1.3847696097402384,0.11120636468930105,NA,NA,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,establishment,175,NA,0.2875177762011843,0.26052864503425044,NA,NA,NA,NA,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.ambi,recruit_size,208,NA,NA,NA,NA,NA,-3.2039835329262294,0.9945428623383424,ambi,bare,-4.3244803348408345,2.3344876927490406
hi,brapin,bare.warm,survival,234,2.0437288654057397,8.961290880789278,3.4616450497119593,0.9938544140548802,NA,NA,NA,warm,bare,-5.865164751859831,2.292137353940512
hi,brapin,bare.warm,size_t1_log,115,0.5425299575683387,1.383938592422845,0.2807705372635568,0.10456997994007194,0.9443510991593288,NA,NA,warm,bare,-5.865164751859831,2.292137353940512
hi,brapin,bare.warm,flower_status,349,3.5765947180560067,-3.5548949446732645,0.979151266288103,0.9800885546045587,NA,NA,NA,warm,bare,-5.865164751859831,2.292137353940512
